Comment,Designator,Footprint,LCSC,Quantity
LuckFox_Pico,U3,LUCKFOX_PICO_PRO_MAX_PTH,,1
WAVESHARELCD_PLUS_UART_PLUS_I2C,U2,WAVESHARE_LCD_BUTTON,,1
